VDH_Code,Indicator,Timeframe,Geography_Type,Geography_Name,Demographic_Type,Demographic_Name,Value,State_Comparison,Notes,MostRec_DisagTimeframe,MostRec_DisagTimeframeValue,MostRec_VTValuePerGeogType,Stat_Comment,DemographicNameCleaned,_timestamp
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Race and Ethnicity,BIPOC,16,NA,,2023,12,8,,BIPOC,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Disability,Disability,14,NA,,2023,12,8,,Disability,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,SOGI,LGBTQ,13,NA,,2023,14,8,,LGBTQ,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Income,Low (<$25K),11,NA,,,,,,Low (<$25K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Income,Middle ($25K- <50K),11,NA,,,,,,Middle ($25K- <50K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Education,High School Degree or Less,10,NA,,2023,9,8,,High School Degree or Less,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Income,High ($50K - <$75K),9,NA,,,,,,High ($50K - <$75K),2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Vermont 1-year rate,NA,8,NA,,2022,6,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Race and Ethnicity,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Sex,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Sex,Male,8,NA,,2023,7,8,,Male,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,SOGI,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Disability,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Education,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Income,Overall,8,NA,,2023,8,8,,Overall,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Race and Ethnicity,"White, non-Hispanic",7,NA,,2023,7,8,,"White, non-Hispanic",2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Sex,Female,7,NA,,2023,8,8,,Female,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,SOGI,Heterosexual Cisgender,7,NA,,2023,7,8,,Heterosexual Cisgender,2025-09-08
AHS04,% of adults age 18 and older who report not seeing a doctor when they needed to in the past 12 months because they could not afford it,2020,State,Vermont,Education,Some College,7,NA,,2023,9,8,,Some College,2025-09-08
